replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,-1.8532322472991059,2.9591163190054997,4.002449246916418,-6.4377586774917015,35.05753783472713,1.0,1.0,,,1.0,1.0,-1.156201616188445,-1.74076054659026,0.007071067811865475,0.0068579604369555635,24,92.125,1.1538122393951573,0.03554206337686884,False,1.285654002133787,False,0.020486111111111094,False,False,0.009532111829712434,0.020486111111111094,False,-0.08668441027028909,0.16879630042144184,0.36606691640065026,False,forward_only_adequate
1,sequential_evalue,martingale_evalue,True,ok,0.8192519105169551,3.54598628310067,6.193356627368539,-5.706515712577836,34.103794468041194,1.0,1.0,,,1.0,1.0,-1.6628120560432444,-1.2766994210348352,0.007071067811865475,0.0069845424244755335,24,93.5,1.1516392862684577,0.004501643734422622,False,1.2862471724587383,False,0.039583333333333304,False,False,0.003808803280193716,0.039583333333333304,False,0.6170872089417198,0.18253674296465688,0.14356445923407377,False,forward_only_adequate
2,sequential_evalue,martingale_evalue,True,ok,0.34625467021232703,2.6683225507815362,5.175271627758823,-4.110862768248214,34.423175077588226,1.0,1.0,,,1.0,1.0,-1.590967283235707,-1.4254623572900988,0.007071067811865475,0.007075602453819084,24,93.875,1.1799383832773755,0.020906061432882272,False,1.2745977669380462,False,0.01840277777777788,False,False,0.0014300049221442146,0.01840277777777788,False,-0.6635850032152432,0.16831169232997498,0.4129622578186531,False,forward_only_adequate
3,sequential_evalue,martingale_evalue,True,ok,-3.3098227021631565,3.0542415015720246,1.672992022163772,-8.971422121242426,34.25511007411672,1.0,1.0,,,1.0,1.0,-0.7033868772089135,-2.050405266444807,0.007071067811865475,0.006925535687891031,24,93.08333333333333,1.1444180707472247,0.001378359355580617,False,1.3071926724740779,False,0.019444444444444375,False,False,0.01871165008426068,0.019444444444444375,False,-0.9019951436447466,0.15286211177642872,-0.4835081950974704,False,forward_only_adequate
4,sequential_evalue,martingale_evalue,True,ok,-1.2896414255981463,2.98549821372871,4.082024704609503,-6.788314797477136,33.540740100079475,1.0,1.0,,,1.0,1.0,-1.196592467913458,-1.709798004467982,0.007071067811865475,0.006994959510541208,24,92.625,1.1289948508684093,0.01799137368776672,False,1.3588931024521165,False,0.021874999999999978,False,False,0.006479161833635539,0.021874999999999978,False,0.5909411131207878,0.08707973711671309,-0.41780156019150233,False,forward_only_adequate
5,sequential_evalue,martingale_evalue,True,ok,1.0065400410369243,2.904659225746418,5.834956163035623,-4.224278430423641,33.354983070529144,1.0,1.0,,,1.0,1.0,-1.6751054600667152,-1.319676705067268,0.007071067811865475,0.007012204755876995,24,96.79166666666667,1.1505468345830985,0.017844392334696167,False,1.2489684435340425,False,0.023611111111111027,False,False,0.0048001202961773775,0.023611111111111027,False,0.5806606950890069,0.12016731819339686,1.3935408233230135,False,forward_only_adequate
6,sequential_evalue,martingale_evalue,True,ok,-0.12275847967183469,3.048162400670371,4.392687923123659,-6.4221213005178175,33.98746435865565,1.0,1.0,,,1.0,1.0,-1.4409685400900787,-1.5373839192931325,0.007071067811865475,0.0070166475290256375,24,92.95833333333333,1.149641928995338,0.004934747839388627,False,1.2784727047322353,False,0.025694444444444464,False,False,0.00047539968826044944,0.025694444444444464,False,0.23094559044175877,0.14959383900670536,0.7143562654256337,False,forward_only_adequate
7,sequential_evalue,martingale_evalue,True,ok,5.454227645245788,3.1656078613288434,10.813326950007475,0.1272968414186595,34.29129435103386,1.0,1.0,,,1.0,1.0,-2.310680236260158,-0.32963747025641466,0.007071067811865475,0.007049944489536247,24,93.29166666666667,1.1675110667150375,0.02358809703076769,False,1.3119805638074455,False,0.013541666666666674,False,False,0.03269876341156824,0.013541666666666674,False,0.408938349894171,0.15354110848785033,1.7213903466914193,False,forward_only_adequate
8,sequential_evalue,martingale_evalue,True,ok,-3.0637084454144765,3.5792120150498503,3.794004351515223,-8.512638732049107,33.20097009319674,1.0,1.0,,,1.0,1.0,-0.7142855490158768,-2.0593218414928485,0.007071067811865475,0.006965300310218953,24,93.91666666666667,1.1205518544017847,0.007965265710715956,False,1.2495905445215179,False,0.007291666666666696,False,False,0.01753548194121772,0.007291666666666696,False,-0.5112209941027855,0.16589033110444013,-0.47645722295688864,False,forward_only_adequate
9,sequential_evalue,martingale_evalue,True,ok,3.641198846585453,3.384278977711554,9.485871794329523,-1.8235673407835695,33.60022358237957,1.0,1.0,,,1.0,1.0,-2.1309973912974955,-0.6008130475746114,0.007071067811865475,0.006993161281182707,24,94.04166666666667,1.139320402588502,0.008611646975251932,False,1.3029909042200953,False,0.018055555555555602,False,False,0.02100573519615922,0.018055555555555602,False,0.9802262880194045,0.1629266354472615,1.001060981568268,False,forward_only_adequate
